ano,id_municipio,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto
2019,4208302,63689.0,63689.0,63689.0,63689.0,51427.0
2019,4217550,1823.0,1823.0,1823.0,1823.0,90.0
2020,2803005,21033.0,21033.0,20756.0,21033.0,12136.0
2021,2803708,3351.0,3351.0,3337.0,3351.0,2353.0
2019,3503406,6742.0,6742.0,6006.0,6742.0,5409.0
2019,3507100,22437.0,22437.0,21287.0,22437.0,22098.0
2020,3507159,2711.0,2711.0,2649.0,2711.0,2549.0
2019,3509254,20849.0,20849.0,20849.0,20849.0,18184.0
2019,3510005,29408.0,29408.0,29268.0,29408.0,29200.0
2019,3511201,7193.0,7193.0,7193.0,7193.0,7193.0
2021,3512100,4498.0,4498.0,4498.0,4498.0,4498.0
2019,3513702,30087.0,30087.0,30010.0,30087.0,29819.0
2020,3515004,276535.0,276535.0,276535.0,276535.0,213969.0
2019,3515400,12810.0,12810.0,12810.0,12810.0,12810.0
2019,3515608,4909.0,4909.0,4909.0,4909.0,4909.0
2019,3516507,2314.0,2314.0,2314.0,2314.0,2314.0
2019,3517307,5037.0,5037.0,5029.0,5037.0,5029.0
2019,3517802,6566.0,6566.0,6566.0,6566.0,6566.0
2020,3518008,1760.0,1760.0,1760.0,1760.0,1760.0
2021,3519105,10459.0,10459.0,10073.0,10459.0,9428.0
2021,3519709,28030.0,28030.0,28030.0,28030.0,15586.0
2021,3523107,379082.0,379082.0,379082.0,379082.0,277561.0
2019,3523503,18826.0,18826.0,17335.0,18826.0,17204.0
2021,3524204,6513.0,6513.0,5924.0,6513.0,6243.0
2021,3525003,127734.0,127734.0,127734.0,127734.0,104897.0
2019,3525409,2605.0,2605.0,2605.0,2605.0,2605.0
2019,3525508,13220.0,13220.0,9250.0,13220.0,8451.0
2020,3526605,6711.0,6711.0,6711.0,6711.0,5024.0
2020,3527504,1902.0,1902.0,1902.0,1902.0,1902.0
2021,3529302,82526.0,82526.0,82526.0,82526.0,82526.0
2019,3529609,2661.0,2661.0,2661.0,2661.0,2661.0
2021,3531100,58311.0,58311.0,53746.0,58311.0,45653.0
2020,3532009,11769.0,11769.0,11769.0,11769.0,11769.0
2019,3532843,783.0,783.0,783.0,783.0,783.0
2020,3536000,8982.0,8982.0,8982.0,8982.0,8982.0
2020,3536570,1249.0,1249.0,1249.0,1249.0,1249.0
2020,3539202,26369.0,26369.0,26369.0,26369.0,26062.0
2019,3543303,123393.0,123393.0,111475.0,123393.0,91122.0
2019,3546207,3047.0,3047.0,3000.0,3047.0,2750.0
2020,3547205,981.0,981.0,981.0,981.0,981.0
2021,3551603,25740.0,25740.0,23738.0,25740.0,19651.0
2020,3554508,38655.0,38655.0,38652.0,38655.0,35946.0
2019,3556305,25182.0,25182.0,25182.0,25182.0,25182.0
2020,3556354,5371.0,5371.0,5371.0,5371.0,3541.0
2019,3556701,76254.0,76254.0,72443.0,76254.0,64817.0
2020,3556909,8292.0,8292.0,7537.0,8292.0,7537.0
2020,3556958,1525.0,1525.0,1525.0,1525.0,1525.0
2020,1200138,4543.0,4543.0,4523.0,4543.0,152.0
2020,2701407,25092.0,25092.0,25092.0,25092.0,13900.0
2021,2910057,78707.0,78707.0,78682.0,78707.0,38334.0
2021,2914307,3549.0,3549.0,3539.0,3549.0,3549.0
2019,2915502,16368.0,16368.0,16366.0,16368.0,15812.0
2019,2917102,18525.0,18525.0,18140.0,18525.0,18140.0
2020,2917409,5355.0,5355.0,5346.0,5355.0,0.0
2019,2917706,18379.0,18379.0,18379.0,18379.0,9732.0
2021,2926301,20055.0,20055.0,20044.0,20055.0,465.0
2019,2927200,22778.0,22778.0,22778.0,22778.0,1798.0
